"Company Name ","Account Number","Country ","Reporting Year","Ticker Symbol ","ISIN ","Disclosure Score","Performance Band","Parent Account ","Permission","Response Status","Scope 1 (metric tonnes CO2e)","Scope 2 (metric tonnes CO2e)","Country Location"
"NIKE Inc.","13279","USA","2013","NKE US","US6541061031","70","D",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"Reynolds American Inc.","15774","USA","2013","RAI US","US7617131062","70","B",,"Public","AQ*","107,093","167,402","POINT (-95.712891 37.09024)"
"Monsanto Company","12330","USA","2013","MON US","US61166W1018","70","D",,"Public","AQ*","1,610,000","539,000","POINT (-95.712891 37.09024)"
"Capital One Financial","2695","USA","2013","COF US","US14040H1059","71","C",,"Public","AQ*","14,501","194,433","POINT (-95.712891 37.09024)"
"McDonald's Corporation","11581","USA","2013","MCD US","US5801351017","71","D",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"Ford Motor Company","6595","USA","2013","F US","US3453708600","72","C",,"Public","AQ*","1,698,799","3,440,338","POINT (-95.712891 37.09024)"
"Kimberly-Clark Corporation","10148","USA","2013","KMB US","US4943681035","72","C",,"Public","AQ*","2,461,675","2,967,804","POINT (-95.712891 37.09024)"
"General Electric Company","7166","USA","2013","GE US","US3696041033","72","C",,"Public","AQ*","1,970,000","2,905,000","POINT (-95.712891 37.09024)"
"Honeywell International Inc.","8553","USA","2013","HON US","US4385161066","74","B",,"Public","AQ*","5,532,844","1,756,275","POINT (-95.712891 37.09024)"
"Anadarko Petroleum Corporation","745","USA","2013","APC US","US0325111070","75","C",,"Public","AQ*","5,056,818","535,843","POINT (-95.712891 37.09024)"
"Thermo Fisher Scientific Inc.","19016","USA","2013","TMO US","US8835561023","75","D",,"Public","AQ*","64,863","297,992","POINT (-95.712891 37.09024)"
"eBay Inc.","5197","USA","2013","EBAY US","US2786421030","75","D",,"Public","AQ*","14,374","225,952","POINT (-95.712891 37.09024)"
"Altria Group, Inc.","628","USA","2013","MO US","US02209S1033","75","C",,"Public","AQ*","283,926","236,169","POINT (-95.712891 37.09024)"
"Amgen, Inc.","716","USA","2013","AMGN US","US0311621009","76","B",,"Public","AQ*","119,968","286,679","POINT (-95.712891 37.09024)"
"Noble Energy, Inc.","13395","USA","2013","NBL US","US6550441058","76","C",,"Public","AQ*","2,078,600","61,630","POINT (-95.712891 37.09024)"
"General Mills Inc.","7156","USA","2013","GIS US","US3703341046","78","B",,"Public","AQ*","259,400","737,000","POINT (-95.712891 37.09024)"
"Walt Disney Company","20384","USA","2013","DIS US","US2546871060","78","C",,"Public","AQ*","867,353","899,027","POINT (-95.712891 37.09024)"
"U.S. Bancorp","19593","USA","2013","USB US","US9029733048","78","C",,"Public","AQ*","38,055","370,672","POINT (-95.712891 37.09024)"
"Deere & Company","4365","USA","2013","DE US","US2441991054","79","C",,"Public","AQ*","440,147","1,053,446","POINT (-95.712891 37.09024)"
"Oracle Corporation","14013","USA","2013","ORCL US","US68389X1054","79","C",,"Public","AQ*","16,481","440,773","POINT (-95.712891 37.09024)"
"Illinois Tool Works, Inc.","8858","USA","2013","ITW US","US4523081093","79","C",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"BlackRock","1875","USA","2013","BLK US","US09247X1019","79","C",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"FedEx Corporation","6287","USA","2013","FDX US","US31428X1063","80","B",,"Public","AQ*","14,602,697","959,109","POINT (-95.712891 37.09024)"
"Celgene Corporation","2982","USA","2013","CELG US","US1510201049","80","C",,"Public","AQ*","14,458","18,420","POINT (-95.712891 37.09024)"
"Exxon Mobil Corporation","6136","USA","2013","XOM US","US30231G1022","80","B",,"Public","AQ*","132,000,000","14,000,000","POINT (-95.712891 37.09024)"
"Kraft Foods","10312","USA","2013","KRFT US","US50076Q1067","81","B",,"Public","AQ*","477,813","695,225","POINT (-95.712891 37.09024)"
"Baxter International Inc.","1574","USA","2013","BAX US","US0718131099","82","B",,"Public","AQ*","345,000","445,000","POINT (-95.712891 37.09024)"
"Schlumberger Limited","16418","USA","2013","SLB US","AN8068571086","83","C",,"Public","AQ*","2,200,000","550,000","POINT (-95.712891 37.09024)"
"ConocoPhillips","3751","USA","2013","COP US","US20825C1045","83","B",,"Public","AQ*","24,171,000","1,638,000","POINT (-95.712891 37.09024)"
"Automatic Data Processing, Inc.","1203","USA","2013","ADP US","US0530151036","83","C",,"Public","AQ*","15,500","157,100","POINT (-95.712891 37.09024)"
"Kellogg Company","10056","USA","2013","K US","US4878361082","84","B",,"Public","AQ*","536,069","671,729","POINT (-95.712891 37.09024)"
"Abbott Laboratories","64","USA","2013","ABT US","US0028241000","84","B",,"Public","AQ*","470,781","537,821","POINT (-95.712891 37.09024)"
"Verizon Communications Inc.","20175","USA","2013","VZ US","US92343V1044","84","B",,"Public","AQ*","512,899.04","5,334,874.05","POINT (-95.712891 37.09024)"
"Ventas Inc","22873","USA","2013","VTR US","US92276F1003","85","C",,"Public","AQ*","43,381","314,379","POINT (-95.712891 37.09024)"
"Lowe's Companies, Inc.","11017","USA","2013","LOW US","US5486611073","85","D",,"Public","AQ*","303,721","2,552,740","POINT (-95.712891 37.09024)"
"AFLAC Incorporated","362","USA","2013","AFL US","US0010551028","85","B",,"Public","AQ*","3,884","18,536","POINT (-95.712891 37.09024)"
"Intel Corporation","9298","USA","2013","INTC US","US4581401001","85","B",,"Public","AQ*","794,759","2,331,048","POINT (-95.712891 37.09024)"
"Franklin Resources, Inc.","6684","USA","2013","BEN US","US3546131018","86","C",,"Public","AQ*","8,175","29,552","POINT (-95.712891 37.09024)"
"Eli Lilly & Co.","5377","USA","2013","LLY US","US5324571083","86","B",,"Public","AQ*","415,040","1,160,941","POINT (-95.712891 37.09024)"
"Walgreen Company","20398","USA","2013","WAG US","US9314221097","86","C",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"Freeport-McMoRan Copper & Gold Inc.","23228","USA","2013","FCX US","US35671D8570","86","C",,"Public","AQ*","5,679,367","3,985,464","POINT (-95.712891 37.09024)"
"Devon Energy Corporation","4678","USA","2013","DVN US","US25179M1036","86","B",,"Public","AQ*","7,596,657","1,087,905","POINT (-95.712891 37.09024)"
"Starbucks Corporation","17652","USA","2013","SBUX US","US8552441094","86","C",,"Public","AQ*","239,972","792,644","POINT (-95.712891 37.09024)"
"International Business Machines (IBM)","9284","USA","2013","IBM US","US4592001014","86","B",,"Public","AQ*","541,584","2,208,459","POINT (-95.712891 37.09024)"
"State Street Corporation","17690","USA","2013","STT US","US8574771031","87","C",,"Public","AQ*","10,009.07","98,756","POINT (-95.712891 37.09024)"
"Merck & Co., Inc.","11765","USA","2013","MRK US","US58933Y1055","87","B",,"Public","AQ*","1,053,000","927,000","POINT (-95.712891 37.09024)"
"American Express","692","USA","2013","AXP US","US0258161092","87","C",,"Public","AQ*","23,371","142,667","POINT (-95.712891 37.09024)"
"United Technologies Corporation","19859","USA","2013","UTX US","US9130171096","87","B",,"Public","AQ*","801,694","880,896","POINT (-95.712891 37.09024)"
"PNC Financial Services Group, Inc.","14830","USA","2013","PNC US","US6934751057","89","B",,"Public","AQ*","47,606","398,414","POINT (-95.712891 37.09024)"
"The Coca-Cola Company","3564","USA","2013","KO US","US1912161007","90","A-",,"Public","AQ*","2,551,626","1,138,377","POINT (-95.712891 37.09024)"
"Dow Chemical Company","4826","USA","2013","DOW US","US2605431038","90","B",,"Public","AQ*","27,429,000","8,403,000","POINT (-95.712891 37.09024)"
"Norfolk Southern Corp.","13425","USA","2013","NSC US","US6558441084","90","B",,"Public","AQ*","4,925,238","252,854","POINT (-95.712891 37.09024)"
"Baker Hughes Incorporated","1356","USA","2013","BHI US","US0572241075","90","B",,"Public","AQ*","516,000","425,000","POINT (-95.712891 37.09024)"
"salesforce.com","16158","USA","2013","CRM US","US79466L3024","90","C",,"Public","AQ*","2,349.52","29,428.55","POINT (-95.712891 37.09024)"
"Cummins Inc.","4136","USA","2013","CMI US","US2310211063","91","B",,"Public","AQ*","232,052","409,890","POINT (-95.712891 37.09024)"
"Target Corporation","18320","USA","2013","TGT US","US87612E1064","91","B",,"Public","AQ*","527,047","2,489,866","POINT (-95.712891 37.09024)"
"Lockheed Martin Corporation","10820","USA","2013","LMT US","US5398301094","91","A",,"Public","AQ*","249,491","985,006","POINT (-95.712891 37.09024)"
"Pfizer Inc.","14683","USA","2013","PFE US","US7170811035","91","B",,"Public","AQ*","1,217,736","1,155,762","POINT (-95.712891 37.09024)"
"Mondelez International Inc","42037","USA","2013","MDLZ US",,"91","B",,"Public","AQ*","1,075,761","954,755","POINT (-95.712891 37.09024)"
"Yahoo! Inc.","20905","USA","2013","YHOO US","US9843321061","91","B",,"Public","AQ*","4,002.04","333,290.8","POINT (-95.712891 37.09024)"
"Allergan, Inc.","533","USA","2013","AGN US","US0184901025","91","B",,"Public","AQ*","49,128","52,049","POINT (-95.712891 37.09024)"
"JPMorgan Chase & Co.","9871","USA","2013","JPM US","US46625H1005","91","B",,"Public","AQ*","83,343","1,219,748","POINT (-95.712891 37.09024)"
"DIRECTV","4773","USA","2013","DTV US","US25490A3095","91","B",,"Public","AQ*","106,060","88,145","POINT (-95.712891 37.09024)"
"Newmont Mining Corporation","13117","USA","2013","NEM US","US6516391066","92","B",,"Public","AQ*","4,016,150","1,182,740","POINT (-95.712891 37.09024)"
"CVS Caremark Corporation","4151","USA","2013","CVS US","US1266501006","92","B",,"Public","AQ*","201,000","1,495,000","POINT (-95.712891 37.09024)"
"Biogen Idec Inc.","1857","USA","2013","BIIB US","US09062X1037","92","B",,"Public","AQ*","46,588","39,307","POINT (-95.712891 37.09024)"
"MetLife, Inc.","11796","USA","2013","MET US","US59156R1086","92","A-",,"Not public","AQ*",,,"POINT (-95.712891 37.09024)"
"Yum! Brands, Inc.","20917","USA","2013","YUM US","US9884981013","92","B",,"Public","AQ*","156,510","2,377,372","POINT (-95.712891 37.09024)"
"Google Inc.","7616","USA","2013","GOOG US","US38259P5089","93","B",,"Public","AQ*","37,187","1,149,988","POINT (-95.712891 37.09024)"
"Wal-Mart Stores, Inc.","20402","USA","2013","WMT US","US9311421039","94","A-",,"Public","AQ*","5,605,099","15,581,135","POINT (-95.712891 37.09024)"
"PepsiCo, Inc.","14605","USA","2013","PEP US","US7134481081","94","B",,"Public","AQ*","3,854,784","1,928,490","POINT (-95.712891 37.09024)"
"Johnson Controls","9831","USA","2013","JCI US","US4783661071","94","A-",,"Public","AQ*","866,181","1,465,658","POINT (-95.712891 37.09024)"
"CSX Corporation","4120","USA","2013","CSX US","US1264081035","95","A",,"Public","AQ*","5,268,905","300,170","POINT (-95.712891 37.09024)"
"Thomson Reuters Corporation","19075","USA","2013","TRI US","CA8849031056","95","B",,"Public","AQ*",,,"POINT (-95.712891 37.09024)"
"Citigroup Inc.","3398","USA","2013","C US","US1729674242","95","B",,"Public","AQ*","35,569.83","993,687.28","POINT (-95.712891 37.09024)"
"Morgan Stanley","12406","USA","2013","MS US","US6174464486","96","A",,"Public","AQ*","13,757.46","330,746.62","POINT (-95.712891 37.09024)"
"Microsoft Corporation","11930","USA","2013","MSFT US","US5949181045","96","A",,"Public","AQ*","48,516","1,207,419","POINT (-95.712891 37.09024)"
"Boeing Company","2017","USA","2013","BA US","US0970231058","96","A-",,"Public","AQ*","576,000","998,000","POINT (-95.712891 37.09024)"
"Bristol-Myers Squibb","2191","USA","2013","BMY US","US1101221083","96","B",,"Public","AQ*","269,734","262,565","POINT (-95.712891 37.09024)"
"E.I. du Pont de Nemours and Company","5115","USA","2013","DD US","US2635341090","96","A",,"Public","AQ*","10,817,680","4,416,220","POINT (-95.712891 37.09024)"
"Allstate Corporation","582","USA","2013","ALL US","US0200021014","96","B",,"Public","AQ*","40,796","150,401","POINT (-95.712891 37.09024)"
"AT&T Inc.","1113","USA","2013","T US","US00206R1023","96","B",,"Public","AQ*","948,441","7,894,626","POINT (-95.712891 37.09024)"
"Wells Fargo & Company","20575","USA","2013","WFC US","US9497461015","96","A",,"Public","AQ*","93,904","1,333,372","POINT (-95.712891 37.09024)"
"EMC Corporation","5395","USA","2013","EMC US","US2686481027","97","A",,"Public","AQ*","45,886","368,528","POINT (-95.712891 37.09024)"
"Philip Morris International","14712","USA","2013","PM US","US7181721090","97","B",,"Public","AQ*","441,953","433,892","POINT (-95.712891 37.09024)"
"HCP Inc.","23217","USA","2013","HCP US","US40414L1098","97","A-",,"Public","AQ*","28,940","216,887","POINT (-95.712891 37.09024)"
"Chevron Corporation","3191","USA","2013","CVX US","US1667641005","97","A-",,"Public","AQ*","58,559,220","3,849,319","POINT (-95.712891 37.09024)"
"Twenty-First Century Fox","13126","USA","2013","FOX US",,"97","A-",,"Public","AQ*","62,360","376,022","POINT (-95.712891 37.09024)"
"Adobe Systems, Inc.","333","USA","2013","ADBE US","US00724F1012","97","A",,"Public","AQ*","2,744","22,995","POINT (-95.712891 37.09024)"
"Hess Corporation","8274","USA","2013","HES US","US42809H1077","97","B",,"Public","AQ*","7,409,486","584,695","POINT (-95.712891 37.09024)"
"Simon Property Group","17069","USA","2013","SPG US","US8288061091","98","B",,"Public","AQ*","21,854","496,006","POINT (-95.712891 37.09024)"
"UnitedHealth Group Inc","19858","USA","2013","UNH US","US91324P1021","98","B",,"Public","AQ*","8,693.78","104,200.46","POINT (-95.712891 37.09024)"
"Raytheon Company","15541","USA","2013","RTN US","US7551115071","98","A",,"Public","AQ*","101,715","435,872","POINT (-95.712891 37.09024)"
"Goldman Sachs Group Inc.","7599","USA","2013","GS US","US38141G1040","98","A",,"Public","AQ*","14,559","276,815","POINT (-95.712891 37.09024)"
"Marsh & McLennan Companies, Inc.","11383","USA","2013","MMC US","US5717481023","98","B",,"Public","AQ*","3,429.21","97,423.43","POINT (-95.712891 37.09024)"
"Spectra Energy Corp","17527","USA","2013","SE US","US8475601097","98","A",,"Public","AQ*","8,381,680","608,390","POINT (-95.712891 37.09024)"
"Praxair, Inc.","15027","USA","2013","PX US","US74005P1049","98","B",,"Public","AQ*","5,355,000","11,329,000","POINT (-95.712891 37.09024)"
"TJX Companies, Inc.","19145","USA","2013","TJX US","US8725401090","98","B",,"Public","AQ*","63,084","686,955","POINT (-95.712891 37.09024)"
"Union Pacific Corporation","19845","USA","2013","UNP US","US9078181081","98","B",,"Public","AQ*","11,595,509","407,176","POINT (-95.712891 37.09024)"
"Bank of America","1452","USA","2013","BAC US","US0605051046","98","A",,"Public","AQ*","116,666","1,421,829","POINT (-95.712891 37.09024)"
"Ecolab Inc.","5154","USA","2013","ECL US","US2788651006","98","A",,"Public","AQ*","336,258","199,296","POINT (-95.712891 37.09024)"
"Exelon Corporation","6113","USA","2013","EXC US","US30161N1019","98","A",,"Public","AQ*","26,038,890","5,691,542","POINT (-95.712891 37.09024)"
"Las Vegas Sands Corporation","10494","USA","2013","LVS US","US5178341070","98","A-",,"Public","AQ*","225,157","821,527","POINT (-95.712891 37.09024)"
"Johnson & Johnson","9829","USA","2013","JNJ US","US4781601046","98","A-",,"Public","AQ*","329,556","853,700","POINT (-95.712891 37.09024)"
"Hewlett-Packard","23195","USA","2013","HPQ US","US4282361033","99","A",,"Public","AQ*","246,000","1,643,000","POINT (-95.712891 37.09024)"
"UPS","19898","USA","2013","UPS US","US9113121068","99","A-",,"Public","AQ*","11,715,635","823,212","POINT (-95.712891 37.09024)"
"Colgate Palmolive Company","3551","USA","2013","CL US","US1941621039","99","B",,"Public","AQ*","232,574","435,061","POINT (-95.712891 37.09024)"
"Air Products & Chemicals, Inc.","435","USA","2013","APD US","US0091581068","99","B",,"Public","AQ*","14,767,209","10,563,030","POINT (-95.712891 37.09024)"
"The Home Depot, Inc.","8526","USA","2013","HD US","US4370761029","99","A-",,"Public","AQ*","250,224","2,529,646","POINT (-95.712891 37.09024)"
"Eaton Corporation","5194","USA","2013","ETN US","IE00B8KQN827","100","A-",,"Public","AQ*","105,382","637,346","POINT (-95.712891 37.09024)"
"General Motors Company","7164","USA","2013","GM US","US37045V1008","100","A-",,"Public","AQ*","2,454,755","5,531,380","POINT (-95.712891 37.09024)"
"BNY Mellon","1464","USA","2013","BK US","US0640581007","100","A",,"Public","AQ*","9,513","208,926","POINT (-95.712891 37.09024)"
"Cisco Systems, Inc.","3329","USA","2013","CSCO US","US17275R1023","100","A",,"Public","AQ*","65,832","628,164","POINT (-95.712891 37.09024)"
"Facebook","40556","USA","2013","FB US",,,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Valero Energy Corporation","20048","USA","2013","VLO US","US91913Y1001",,,,"Public","IN",,,"POINT (-95.712891 37.09024)"
"Priceline.Com Inc","22321","USA","2013","PCLN US","US7415034039",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Express Scripts Holding Company","11623","USA","2013","MHS US","US58405U1025",,,,"Not public","DP",,,"POINT (-95.712891 37.09024)"
"Marathon Petroleum","36606","USA","2013","MPC US","US56585A1025",,,,"Public","IN",,,"POINT (-95.712891 37.09024)"
"Williams Companies, Inc.","20705","USA","2013","WMB US","US9694571004",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Emerson Electric Co.","5521","USA","2013","EMR US","US2910111044",,,,"Public","AQ*","264,967",,"POINT (-95.712891 37.09024)"
"Kinder Morgan Inc.","10150","USA","2013","KMI US",,,,,,"NR",,,"POINT (-95.712891 37.09024)"
"General Growth Properties","7172","USA","2013","GGP US","US3700231034",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"General Dynamics Corporation","7147","USA","2013","GD US","US3695501086",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Amazon.com Inc.","658","USA","2013","AMZN US","US0231351067",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Public Storage","15279","USA","2013","PSA US","US74460D1090",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Crown Castle International Corp","31501","USA","2013","CCI US","US2282271046",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Comcast Corporation","3635","USA","2013","CMCSA US","US20030N1019",,,,"Public","IN",,,"POINT (-95.712891 37.09024)"
"Alexion Pharmaceuticals","36634","USA","2013","ALXN US","US0153511094",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"American Tower Corp.","706","USA","2013","AMT US","US03027X1000",,,,"Not public","DP",,,"POINT (-95.712891 37.09024)"
"McKesson Corporation","11585","USA","2013","MCK US","US58155Q1031",,,,"Not public","DP",,,"POINT (-95.712891 37.09024)"
"Marathon Oil Corporation","11347","USA","2013","MRO US","US5658491064",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"EOG Resources, Inc.","5767","USA","2013","EOG US","US26875P1012",,,,"Public","AQ*",,,"POINT (-95.712891 37.09024)"
"Discover Financial Services","4768","USA","2013","DFS US","US2547091080",,,,"Public","IN",,,"POINT (-95.712891 37.09024)"
"Equity Residential","5798","USA","2013","EQR US","US29476L1070",,,,"Not public","DP",,,"POINT (-95.712891 37.09024)"
"Archer Daniels Midland","912","USA","2013","ADM US","US0394831020",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Apple Inc.","865","USA","2013","AAPL US","US0378331005",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Time Warner Inc.","19119","USA","2013","TWX US","US8873173038",,,,"Public","AQ*","23,777","194,010","POINT (-95.712891 37.09024)"
"BB&T Corporation","1610","USA","2013","BBT US","US0549371070",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Phillips 66","44635","USA","2013","PSX US",,,,,,"NR",,,"POINT (-95.712891 37.09024)"
"The Southern Company","18951","USA","2013","SO US","US8425871071",,,,"Public","IN",,,"POINT (-95.712891 37.09024)"
"Dominion Resources, Inc.","4832","USA","2013","D US","US25746U1097",,,,"Not public","DP",,,"POINT (-95.712891 37.09024)"
"Caterpillar Inc.","2918","USA","2013","CAT US","US1491231015",,,,"Public","IN",,,"POINT (-95.712891 37.09024)"
"Precision Castparts Corp.","15040","USA","2013","PCP US","US7401891053",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Gilead Sciences, Inc.","7345","USA","2013","GILD US","US3755581036",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Berkshire Hathaway","1718","USA","2013","BRK/B US","US0846707026",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"National Oilwell Varco, Inc.","12843","USA","2013","NOV US","US6370711011",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Intuitive Surgical Inc.","9367","USA","2013","ISRG US","US46120E6023",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"Time Warner Cable Inc.","19120","USA","2013","TWC US","US88732J2078",,,,,"NR",,,"POINT (-95.712891 37.09024)"
"NextEra Energy, Inc.","6672","USA","2013","NEE US","US65339F1012",,,,,"NR",,,"POINT (-95.712891 37.09024)"
